id,created_at,name
DDInter1,2026-04-17 13:45:05.837838+00,Abacavir
DDInter100,2026-04-17 13:45:05.837838+00,Anthrax vaccine
DDInter1000,2026-04-17 13:45:05.837838+00,Ivosidenib
DDInter1001,2026-04-17 13:45:05.837838+00,Ixabepilone
DDInter1002,2026-04-17 13:45:05.837838+00,Ixazomib
DDInter1004,2026-04-17 13:45:05.837838+00,Kanamycin
DDInter1005,2026-04-17 13:45:05.837838+00,Kaolin
DDInter1006,2026-04-17 13:45:05.837838+00,Kava
DDInter1007,2026-04-17 13:45:05.837838+00,Ketamine
DDInter1008,2026-04-17 13:45:05.837838+00,Ketoconazole
DDInter1009,2026-04-17 13:45:05.837838+00,Ketoprofen
DDInter1010,2026-04-17 13:45:05.837838+00,Ketorolac
DDInter1011,2026-04-17 13:45:05.837838+00,Ketorolac (ophthalmic)
DDInter1012,2026-04-17 13:45:05.837838+00,Ketotifen
DDInter1013,2026-04-17 13:45:05.837838+00,Labetalol
DDInter1014,2026-04-17 13:45:05.837838+00,Lacosamide
DDInter1015,2026-04-17 13:45:05.837838+00,Lactic acid
DDInter1016,2026-04-17 13:45:05.837838+00,Lactitol
DDInter1017,2026-04-17 13:45:05.837838+00,Lactobacillus acidophilus
DDInter1018,2026-04-17 13:45:05.837838+00,Lactulose
DDInter1019,2026-04-17 13:45:05.837838+00,Lamivudine
DDInter1020,2026-04-17 13:45:05.837838+00,Lamotrigine
DDInter1021,2026-04-17 13:45:05.837838+00,Lanreotide
DDInter1022,2026-04-17 13:45:05.837838+00,Lansoprazole
DDInter1023,2026-04-17 13:45:05.837838+00,Lanthanum carbonate
DDInter1024,2026-04-17 13:45:05.837838+00,Lapatinib
DDInter1026,2026-04-17 13:45:05.837838+00,Larotrectinib
DDInter1027,2026-04-17 13:45:05.837838+00,Lasmiditan
DDInter1028,2026-04-17 13:45:05.837838+00,Latanoprost
DDInter103,2026-04-17 13:45:05.837838+00,Antilymphocyte immunoglobulin (horse)
DDInter1031,2026-04-17 13:45:05.837838+00,Ledipasvir
DDInter1032,2026-04-17 13:45:05.837838+00,Lefamulin
DDInter1033,2026-04-17 13:45:05.837838+00,Leflunomide
DDInter1034,2026-04-17 13:45:05.837838+00,Lemborexant
DDInter1035,2026-04-17 13:45:05.837838+00,Lenalidomide
DDInter1036,2026-04-17 13:45:05.837838+00,Lenvatinib
DDInter1037,2026-04-17 13:45:05.837838+00,Lepirudin
DDInter1038,2026-04-17 13:45:05.837838+00,Lesinurad
DDInter1039,2026-04-17 13:45:05.837838+00,Letermovir
DDInter104,2026-04-17 13:45:05.837838+00,Antithrombin Alfa
DDInter1040,2026-04-17 13:45:05.837838+00,Letrozole
DDInter1041,2026-04-17 13:45:05.837838+00,Leucovorin
DDInter1042,2026-04-17 13:45:05.837838+00,Leuprolide
DDInter1043,2026-04-17 13:45:05.837838+00,Levacetylmethadol
DDInter1044,2026-04-17 13:45:05.837838+00,Levamisole
DDInter1045,2026-04-17 13:45:05.837838+00,Levamlodipine
DDInter1046,2026-04-17 13:45:05.837838+00,Levetiracetam
DDInter1047,2026-04-17 13:45:05.837838+00,Levmetamfetamine (nasal)
DDInter1048,2026-04-17 13:45:05.837838+00,Levobetaxolol (ophthalmic)
DDInter105,2026-04-17 13:45:05.837838+00,Antithrombin III human
DDInter1050,2026-04-17 13:45:05.837838+00,Levobunolol (ophthalmic)
DDInter1051,2026-04-17 13:45:05.837838+00,Levobupivacaine
DDInter1052,2026-04-17 13:45:05.837838+00,Levocarnitine
DDInter1053,2026-04-17 13:45:05.837838+00,Levocetirizine
DDInter1054,2026-04-17 13:45:05.837838+00,Levodopa
DDInter1055,2026-04-17 13:45:05.837838+00,Levofloxacin
DDInter1056,2026-04-17 13:45:05.837838+00,Levoleucovorin
DDInter1059,2026-04-17 13:45:05.837838+00,Levomilnacipran
DDInter106,2026-04-17 13:45:05.837838+00,Antithymocyte immunoglobulin (rabbit)
DDInter1060,2026-04-17 13:45:05.837838+00,Levonordefrin
DDInter1061,2026-04-17 13:45:05.837838+00,Levonorgestrel
DDInter1062,2026-04-17 13:45:05.837838+00,Levorphanol
DDInter1063,2026-04-17 13:45:05.837838+00,Levosalbutamol
DDInter1064,2026-04-17 13:45:05.837838+00,Levothyroxine
DDInter1065,2026-04-17 13:45:05.837838+00,Licorice
DDInter1066,2026-04-17 13:45:05.837838+00,Lidocaine
DDInter1067,2026-04-17 13:45:05.837838+00,Lidocaine (ophthalmic)
DDInter1068,2026-04-17 13:45:05.837838+00,Lidocaine (topical)
DDInter1069,2026-04-17 13:45:05.837838+00,Linaclotide
DDInter107,2026-04-17 13:45:05.837838+00,Apalutamide
DDInter1070,2026-04-17 13:45:05.837838+00,Linagliptin
DDInter1072,2026-04-17 13:45:05.837838+00,Lindane
DDInter1073,2026-04-17 13:45:05.837838+00,Linezolid
DDInter1074,2026-04-17 13:45:05.837838+00,Liothyronine
DDInter1075,2026-04-17 13:45:05.837838+00,Liotrix
DDInter1076,2026-04-17 13:45:05.837838+00,Lipoic acid
DDInter1077,2026-04-17 13:45:05.837838+00,Liraglutide
DDInter1078,2026-04-17 13:45:05.837838+00,Lisdexamfetamine
DDInter1079,2026-04-17 13:45:05.837838+00,Lisinopril
DDInter108,2026-04-17 13:45:05.837838+00,Apixaban
DDInter1080,2026-04-17 13:45:05.837838+00,Lisocabtagene maraleucel
DDInter1081,2026-04-17 13:45:05.837838+00,Lithium carbonate
DDInter1082,2026-04-17 13:45:05.837838+00,Lixisenatide
DDInter1083,2026-04-17 13:45:05.837838+00,Lofexidine
DDInter1084,2026-04-17 13:45:05.837838+00,Lomefloxacin
DDInter1085,2026-04-17 13:45:05.837838+00,Lomitapide
DDInter1086,2026-04-17 13:45:05.837838+00,Lomustine
DDInter1087,2026-04-17 13:45:05.837838+00,Lonafarnib
DDInter1088,2026-04-17 13:45:05.837838+00,Loperamide
DDInter1089,2026-04-17 13:45:05.837838+00,Lopinavir
DDInter109,2026-04-17 13:45:05.837838+00,Apomorphine
DDInter1091,2026-04-17 13:45:05.837838+00,Loratadine
DDInter1092,2026-04-17 13:45:05.837838+00,Lorazepam
DDInter1093,2026-04-17 13:45:05.837838+00,Lorcaserin
DDInter1094,2026-04-17 13:45:05.837838+00,Lorlatinib
DDInter1095,2026-04-17 13:45:05.837838+00,Losartan
DDInter1096,2026-04-17 13:45:05.837838+00,Loteprednol (ophthalmic)
DDInter1098,2026-04-17 13:45:05.837838+00,Lovastatin
DDInter1099,2026-04-17 13:45:05.837838+00,Loxapine
DDInter11,2026-04-17 13:45:05.837838+00,Acarbose
DDInter110,2026-04-17 13:45:05.837838+00,Apraclonidine
DDInter1101,2026-04-17 13:45:05.837838+00,Lumacaftor
DDInter1102,2026-04-17 13:45:05.837838+00,Lumateperone
DDInter1103,2026-04-17 13:45:05.837838+00,Lumefantrine
DDInter1104,2026-04-17 13:45:05.837838+00,Lurasidone
DDInter1105,2026-04-17 13:45:05.837838+00,Lurbinectedin
DDInter1106,2026-04-17 13:45:05.837838+00,Lusutrombopag
DDInter1108,2026-04-17 13:45:05.837838+00,Lutetium Lu 177 dotatate
DDInter1109,2026-04-17 13:45:05.837838+00,Lyme disease vaccine (recombinant OspA)
DDInter111,2026-04-17 13:45:05.837838+00,Apremilast
DDInter1110,2026-04-17 13:45:05.837838+00,Macimorelin
DDInter1111,2026-04-17 13:45:05.837838+00,Macitentan
DDInter1112,2026-04-17 13:45:05.837838+00,Magaldrate
DDInter1113,2026-04-17 13:45:05.837838+00,Magnesium carbonate
DDInter1114,2026-04-17 13:45:05.837838+00,Magnesium chloride
