medA,medB,severity
DDInter1263,DDInter1,Moderate
DDInter1,DDInter1348,Moderate
DDInter58,DDInter582,Major
DDInter112,DDInter582,Minor
DDInter138,DDInter582,Major
DDInter270,DDInter582,Major
DDInter271,DDInter582,Major
DDInter582,DDInter273,Major
DDInter582,DDInter274,Major
DDInter582,DDInter276,Major
DDInter582,DDInter278,Major
DDInter582,DDInter279,Major
DDInter975,DDInter582,Major
DDInter380,DDInter582,Minor
DDInter393,DDInter582,Minor
DDInter416,DDInter582,Minor
DDInter513,DDInter582,Minor
DDInter1005,DDInter582,Major
DDInter1019,DDInter1016,Moderate
DDInter582,DDInter1112,Major
DDInter582,DDInter1113,Major
DDInter582,DDInter1114,Major
DDInter582,DDInter1115,Major
DDInter582,DDInter1116,Major
DDInter582,DDInter1118,Major
DDInter1119,DDInter582,Major
DDInter1120,DDInter582,Major
DDInter1019,DDInter1123,Moderate
DDInter1164,DDInter582,Moderate
DDInter1209,DDInter582,Minor
DDInter1263,DDInter1019,Moderate
DDInter1019,DDInter1348,Moderate
DDInter1019,DDInter1703,Moderate
DDInter1717,DDInter582,Major
DDInter1881,DDInter582,Minor
DDInter1961,DDInter85,Moderate
DDInter1961,DDInter86,Moderate
DDInter1961,DDInter87,Moderate
DDInter195,DDInter1961,Moderate
DDInter1961,DDInter246,Moderate
DDInter1961,DDInter380,Minor
DDInter1961,DDInter393,Minor
DDInter1961,DDInter513,Moderate
DDInter1961,DDInter885,Moderate
DDInter1961,DDInter1263,Moderate
DDInter1961,DDInter1513,Moderate
DDInter1961,DDInter1515,Moderate
DDInter1961,DDInter1622,Moderate
DDInter1961,DDInter1675,Moderate
DDInter1961,DDInter1855,Moderate
DDInter269,DDInter2,Moderate
DDInter52,DDInter3,Moderate
DDInter112,DDInter3,Moderate
DDInter195,DDInter3,Moderate
DDInter246,DDInter3,Moderate
DDInter252,DDInter3,Moderate
DDInter385,DDInter3,Moderate
DDInter393,DDInter3,Moderate
DDInter513,DDInter3,Moderate
DDInter519,DDInter3,Moderate
DDInter581,DDInter3,Moderate
DDInter601,DDInter3,Moderate
DDInter629,DDInter3,Moderate
DDInter676,DDInter3,Moderate
DDInter831,DDInter3,Moderate
DDInter840,DDInter3,Moderate
DDInter885,DDInter3,Moderate
DDInter1022,DDInter3,Moderate
DDInter1070,DDInter3,Moderate
DDInter1258,DDInter3,Moderate
DDInter1261,DDInter3,Moderate
DDInter1269,DDInter3,Moderate
DDInter1300,DDInter3,Moderate
DDInter1340,DDInter3,Moderate
DDInter1342,DDInter3,Moderate
DDInter1388,DDInter3,Moderate
DDInter1472,DDInter3,Moderate
DDInter1513,DDInter3,Moderate
DDInter1515,DDInter3,Moderate
DDInter1559,DDInter3,Moderate
DDInter1581,DDInter3,Moderate
DDInter1615,DDInter3,Moderate
DDInter1646,DDInter3,Moderate
DDInter1665,DDInter3,Moderate
DDInter1675,DDInter3,Moderate
DDInter1811,DDInter3,Moderate
DDInter1855,DDInter3,Moderate
DDInter1881,DDInter3,Moderate
DDInter5,DDInter1963,Minor
DDInter5,DDInter1965,Minor
DDInter5,DDInter1966,Minor
DDInter6,DDInter20,Moderate
DDInter6,DDInter518,Moderate
DDInter6,DDInter717,Moderate
DDInter6,DDInter1665,Moderate
DDInter112,DDInter7,Moderate
DDInter393,DDInter7,Major
DDInter416,DDInter7,Moderate
DDInter513,DDInter7,Moderate
DDInter1164,DDInter7,Moderate
DDInter1201,DDInter7,Moderate
DDInter1263,DDInter7,Moderate
DDInter1881,DDInter7,Moderate
DDInter8,DDInter212,Moderate
DDInter8,DDInter307,Moderate
DDInter385,DDInter8,Major
DDInter393,DDInter8,Moderate
DDInter518,DDInter8,Moderate
DDInter581,DDInter8,Major
DDInter8,DDInter629,Major
DDInter8,DDInter632,Moderate
DDInter712,DDInter8,Moderate
DDInter717,DDInter8,Moderate
DDInter8,DDInter832,Moderate
DDInter840,DDInter8,Moderate
DDInter8,DDInter1016,Moderate
DDInter1018,DDInter8,Moderate
DDInter1055,DDInter8,Moderate
DDInter1088,DDInter8,Major
DDInter8,DDInter1115,Moderate
DDInter8,DDInter1118,Moderate
DDInter1197,DDInter8,Moderate
DDInter1202,DDInter8,Minor
DDInter8,DDInter1223,Moderate
DDInter8,DDInter1261,Minor
DDInter1263,DDInter8,Moderate
DDInter1300,DDInter8,Moderate
DDInter1342,DDInter8,Moderate
DDInter1382,DDInter8,Moderate
DDInter1389,DDInter8,Major
DDInter1443,DDInter8,Moderate
DDInter1472,DDInter8,Moderate
DDInter8,DDInter1488,Moderate
DDInter8,DDInter1487,Moderate
DDInter1581,DDInter8,Moderate
DDInter1621,DDInter8,Moderate
DDInter225,DDInter136,Moderate
DDInter225,DDInter397,Moderate
DDInter225,DDInter543,Moderate
DDInter225,DDInter834,Moderate
DDInter225,DDInter896,Moderate
DDInter225,DDInter1004,Major
DDInter225,DDInter1149,Moderate
DDInter225,DDInter1180,Moderate
DDInter225,DDInter1277,Major
DDInter225,DDInter1489,Major
DDInter225,DDInter1535,Moderate
DDInter225,DDInter1647,Moderate
DDInter225,DDInter1713,Major
DDInter225,DDInter1886,Moderate
DDInter112,DDInter1377,Moderate
DDInter124,DDInter1377,Minor
DDInter380,DDInter1377,Moderate
DDInter393,DDInter1377,Moderate
DDInter416,DDInter1377,Moderate
DDInter1377,DDInter513,Moderate
DDInter1377,DDInter629,Moderate
DDInter1055,DDInter1377,Minor
DDInter1202,DDInter1377,Moderate
DDInter1209,DDInter1377,Moderate
DDInter1377,DDInter1615,Moderate
DDInter1622,DDInter1377,Moderate
DDInter1675,DDInter1377,Moderate
DDInter1811,DDInter1377,Moderate
DDInter1881,DDInter1377,Moderate
DDInter195,DDInter991,Moderate
DDInter991,DDInter246,Moderate
DDInter991,DDInter513,Moderate
DDInter598,DDInter991,Major
DDInter885,DDInter991,Moderate
DDInter991,DDInter1224,Major
DDInter1263,DDInter991,Moderate
DDInter1300,DDInter991,Moderate
DDInter1513,DDInter991,Moderate
DDInter1515,DDInter991,Moderate
DDInter1783,DDInter991,Major
DDInter1855,DDInter991,Moderate
DDInter1941,DDInter991,Major
DDInter722,DDInter59,Major
DDInter112,DDInter722,Major
DDInter136,DDInter722,Moderate
DDInter722,DDInter252,Major
DDInter380,DDInter722,Moderate
DDInter722,DDInter393,Major
DDInter397,DDInter722,Moderate
DDInter416,DDInter722,Major
DDInter722,DDInter513,Major
DDInter722,DDInter518,Major
DDInter543,DDInter722,Moderate
DDInter581,DDInter722,Major
DDInter601,DDInter722,Moderate
DDInter722,DDInter632,Moderate
DDInter717,DDInter722,Major
DDInter722,DDInter833,Moderate
DDInter722,DDInter834,Moderate
DDInter722,DDInter840,Major
DDInter896,DDInter722,Moderate
DDInter722,DDInter1093,Major
DDInter1126,DDInter722,Moderate
DDInter722,DDInter1149,Moderate
DDInter722,DDInter1180,Moderate
DDInter722,DDInter1197,Moderate
DDInter722,DDInter1201,Moderate
DDInter722,DDInter1209,Moderate
DDInter1244,DDInter722,Major
DDInter1245,DDInter722,Major
DDInter1253,DDInter722,Moderate
DDInter722,DDInter1262,Moderate
DDInter1263,DDInter722,Major
DDInter722,DDInter1342,Major
DDInter722,DDInter1344,Moderate
DDInter1382,DDInter722,Major
DDInter1447,DDInter722,Moderate
DDInter722,DDInter1487,Moderate
DDInter1535,DDInter722,Moderate
DDInter1647,DDInter722,Moderate
DDInter722,DDInter1665,Major
DDInter1881,DDInter722,Moderate
DDInter1886,DDInter722,Moderate
DDInter58,DDInter9,Moderate
DDInter112,DDInter9,Major
DDInter20,DDInter9,Major
DDInter271,DDInter9,Moderate
DDInter380,DDInter9,Moderate
DDInter393,DDInter9,Major
DDInter416,DDInter9,Moderate
DDInter513,DDInter9,Moderate
DDInter518,DDInter9,Moderate
DDInter519,DDInter9,Major
DDInter676,DDInter9,Major
DDInter712,DDInter9,Moderate
DDInter717,DDInter9,Moderate
DDInter833,DDInter9,Moderate
DDInter1022,DDInter9,Major
DDInter1112,DDInter9,Moderate
DDInter1113,DDInter9,Moderate
DDInter1118,DDInter9,Moderate
DDInter1119,DDInter9,Moderate
DDInter1201,DDInter9,Moderate
DDInter1209,DDInter9,Moderate
DDInter1309,DDInter9,Moderate
DDInter1340,DDInter9,Major
DDInter1388,DDInter9,Major
DDInter1559,DDInter9,Major
DDInter1568,DDInter9,Moderate
DDInter1569,DDInter9,Moderate
DDInter1665,DDInter9,Moderate
DDInter1881,DDInter9,Moderate
DDInter11,DDInter15,Moderate
DDInter11,DDInter36,Minor
DDInter11,DDInter1632,Moderate
DDInter37,DDInter11,Minor
DDInter11,DDInter50,Moderate
DDInter11,DDInter53,Moderate
DDInter1076,DDInter11,Minor
DDInter11,DDInter63,Minor
DDInter11,DDInter90,Moderate
DDInter11,DDInter98,Minor
DDInter11,DDInter118,Moderate
DDInter11,DDInter125,Moderate
DDInter11,DDInter126,Moderate
DDInter127,DDInter11,Moderate
DDInter11,DDInter129,Moderate
DDInter11,DDInter170,Moderate
DDInter11,DDInter179,Moderate
DDInter11,DDInter187,Moderate
DDInter11,DDInter188,Moderate
DDInter11,DDInter195,Moderate
DDInter11,DDInter196,Minor
DDInter222,DDInter11,Moderate
DDInter11,DDInter228,Moderate
DDInter11,DDInter231,Moderate
DDInter11,DDInter233,Moderate
DDInter11,DDInter248,Moderate
DDInter11,DDInter264,Moderate
DDInter11,DDInter284,Moderate
DDInter11,DDInter300,Moderate
DDInter11,DDInter340,Moderate
DDInter11,DDInter24,Moderate
DDInter11,DDInter360,Moderate
DDInter11,DDInter363,Moderate
DDInter11,DDInter365,Moderate
DDInter11,DDInter373,Moderate
DDInter11,DDInter374,Moderate
DDInter11,DDInter383,Moderate
DDInter11,DDInter384,Moderate
DDInter11,DDInter393,Moderate
DDInter11,DDInter403,Minor
DDInter11,DDInter404,Minor
DDInter11,DDInter405,Moderate
DDInter11,DDInter419,Moderate
DDInter11,DDInter439,Moderate
DDInter11,DDInter440,Moderate
DDInter11,DDInter441,Moderate
DDInter11,DDInter445,Moderate
DDInter11,DDInter1782,Moderate
DDInter11,DDInter462,Moderate
DDInter11,DDInter472,Moderate
DDInter11,DDInter482,Moderate
DDInter11,DDInter492,Moderate
DDInter11,DDInter495,Moderate
DDInter11,DDInter509,Minor
DDInter11,DDInter510,Minor
DDInter11,DDInter513,Moderate
DDInter11,DDInter515,Minor
DDInter11,DDInter516,Minor
DDInter11,DDInter518,Moderate
DDInter11,DDInter535,Moderate
DDInter11,DDInter540,Moderate
DDInter542,DDInter11,Minor
DDInter11,DDInter545,Moderate
DDInter11,DDInter547,Moderate
DDInter548,DDInter11,Moderate
DDInter550,DDInter11,Minor
DDInter11,DDInter553,Moderate
DDInter11,DDInter554,Moderate
DDInter11,DDInter577,Moderate
DDInter11,DDInter584,Moderate
DDInter11,DDInter604,Moderate
DDInter11,DDInter624,Moderate
DDInter11,DDInter642,Moderate
DDInter11,DDInter644,Moderate
DDInter11,DDInter650,Moderate
DDInter11,DDInter652,Moderate
DDInter11,DDInter655,Moderate
DDInter11,DDInter678,Moderate
DDInter11,DDInter679,Moderate
DDInter11,DDInter680,Moderate
DDInter11,DDInter681,Moderate
DDInter11,DDInter682,Moderate
DDInter11,DDInter683,Moderate
DDInter11,DDInter684,Moderate
DDInter11,DDInter686,Moderate
DDInter11,DDInter690,Moderate
DDInter11,DDInter692,Moderate
DDInter11,DDInter701,Moderate
DDInter11,DDInter704,Moderate
DDInter11,DDInter717,Moderate
DDInter11,DDInter747,Moderate
DDInter11,DDInter753,Minor
DDInter11,DDInter760,Moderate
DDInter11,DDInter761,Minor
DDInter11,DDInter768,Minor
DDInter11,DDInter776,Moderate
DDInter11,DDInter777,Moderate
DDInter11,DDInter783,Moderate
DDInter11,DDInter790,Moderate
DDInter11,DDInter808,Minor
DDInter11,DDInter809,Major
DDInter11,DDInter813,Moderate
DDInter11,DDInter820,Moderate
DDInter839,DDInter11,Moderate
DDInter11,DDInter842,Moderate
DDInter11,DDInter851,Minor
DDInter11,DDInter1898,Minor
DDInter11,DDInter864,Moderate
DDInter11,DDInter883,Moderate
DDInter11,DDInter885,Moderate
